Name,Age,Income($)
ABDUL BASIT,27,70000
ABDUL RAFAY,29,90000
AHMED RAZA,29,61000
AHSAN SALEEM,28,60000
AIMAN KHAN,42,150000
AMNA BUTT,39,155000
AMNA GHAUS,41,160000
ASGHAR JAFFERY,38,162000
BILAL MUSTAFA,36,156000
EBAAD UR REHMAN,35,130000
EMAN RASHEED,37,137000
FAIZA TAHIR,26,45000
HADIA RAFIQ,27,48000
HAFIZ USAMA RAZA SHAHID,28,51000
HANIA,29,49500
HAROON HAFEEZ,32,53000
HASNAIN SHER AYOUB,40,65000
KUMAIL RAZA,41,63000
MIRZA ALI,43,64000
MOHAD KARIM,39,80000
MUHAMMAD AREEZ SOHAIL,41,82000
MUHAMMAD DANIYAL KHAN,39,58000
